City,Cloudiness,Country,Date,Humidity,Lat,Long,Max Temp,Wind Speed
Mataura,77,NZ,1566671417,87,-46.19,168.86,42.01,1.01
Bluff,0,AU,1566671418,88,-23.58,149.07,53.59,5.17
Yerofey Pavlovich,70,RU,1566671420,92,53.97,121.97,51.97,1.1
Puerto Narino,75,CO,1566671421,66,-3.77,-70.38,89.6,3.36
San Cristobal,29,HN,1566671422,36,14.68,-86.92,87.97,9.1
Flinders,0,AU,1566671423,52,-34.58,150.85,60.01,4.7
Yellowknife,75,CA,1566671424,81,62.45,-114.38,53.6,8.05
Nishihara,75,JP,1566671426,88,35.74,139.53,78.01,16.11
Corralillo,48,CU,1566671427,75,22.98,-80.59,85.45,3.83
Hithadhoo,100,MV,1566671327,68,-0.6,73.08,83.29,8.72
Alyangula,100,AU,1566671429,93,-13.85,136.42,60.8,3.36
Avarua,47,CK,1566671323,83,-21.21,-159.78,73.4,4.7
Novo Aripuana,54,BR,1566671431,39,-5.12,-60.38,94.27,3.18
Lethem,11,GY,1566671433,47,3.38,-59.8,91.57,6.08
Fortuna,0,ES,1566671434,54,38.18,-1.13,82.4,10.29
Ilebo,41,CD,1566671435,28,-4.33,20.59,80.95,1.39
Praya,75,ID,1566671436,94,-8.71,116.27,73.4,10.29
Itarema,3,BR,1566671438,42,-2.92,-39.92,88.51,15.17
Kysyl-Syr,8,RU,1566671439,89,63.9,122.77,50.17,2.64
Umm Kaddadah,25,SD,1566671440,41,13.6,26.69,86.53,8.99
Sidi Ali,0,DZ,1566671441,84,36.1,0.42,76.09,24.92
Saint George,0,GR,1566671442,45,39.45,22.34,87.01,4.7
Cape Town,20,ZA,1566671171,93,-33.93,18.42,61.0,17.22
Tonekabon,40,IR,1566671445,78,36.82,50.88,82.4,4.7
Georgiyevka,0,RU,1566671446,54,52.25,40.45,64.21,3.91
Khatanga,69,RU,1566671447,93,71.98,102.47,50.35,7.81
Portland,75,US,1566671448,53,43.66,-70.25,72.0,13.87
Ocos,20,GT,1566671449,55,14.51,-92.19,91.4,9.17
Sojitra,40,IN,1566671450,79,22.61,72.68,84.2,9.17
Hobart,20,AU,1566671300,52,-42.88,147.33,44.6,8.05
Saldanha,95,PT,1566671453,24,41.42,-6.55,88.33,14.09
Omsukchan,100,RU,1566671454,96,62.53,155.8,47.65,5.03
Boda,100,CF,1566671455,96,4.32,17.47,67.63,1.92
Haines Junction,100,CA,1566671456,94,60.75,-137.51,40.27,4.21
Dingle,100,PH,1566671458,87,11.0,122.67,74.47,5.17
Faanui,68,PF,1566671459,71,-16.48,-151.75,77.71,7.99
Bredasdorp,0,ZA,1566671460,82,-34.53,20.04,55.99,5.82
Banda Aceh,95,ID,1566671188,89,5.56,95.32,78.61,26.46
Lagoa,0,PT,1566671463,47,37.14,-8.45,79.0,16.11
Chokurdakh,94,RU,1566671464,69,70.62,147.9,54.13,5.39
Butaritari,59,KI,1566671466,70,3.07,172.79,84.19,6.6
Rome,0,IT,1566671445,54,41.89,12.48,82.4,3.36
Buraydah,0,SA,1566671468,19,26.33,43.97,95.0,2.24
Tuktoyaktuk,90,CA,1566671469,93,69.44,-133.03,39.2,17.22
Sitka,69,US,1566671470,66,37.17,-99.65,79.0,15.01
Nikolskoye,20,RU,1566671297,77,59.7,30.79,61.0,8.95
Kasangulu,75,CD,1566671473,78,-4.59,15.17,75.2,4.7
Port Elizabeth,90,US,1566671474,44,39.31,-74.98,80.01,9.17
Upernavik,39,GL,1566671475,62,72.79,-56.15,42.79,6.55
Aklavik,75,CA,1566671476,65,68.22,-135.01,44.6,11.41
Mount Pleasant,40,US,1566671477,58,33.16,-94.97,91.99,5.82
La Ronge,90,CA,1566671479,88,55.1,-105.3,62.6,2.51
Port Hedland,0,AU,1566671480,77,-20.31,118.58,60.8,6.93
Kodiak,20,US,1566671481,61,39.95,-94.76,78.01,17.22
Taikang,35,CN,1566671482,84,46.86,124.44,61.87,5.17
Aberdeen,90,US,1566671483,100,46.98,-123.82,70.0,6.93
Souillac,0,FR,1566671485,26,45.6,-0.6,91.4,6.93
Chapais,1,CA,1566671486,40,49.78,-74.86,69.8,3.36
Atuona,53,PF,1566671487,74,-9.8,-139.03,78.43,13.98
Vila Velha,20,BR,1566671488,51,-3.71,-38.6,86.0,19.46
Leningradskiy,41,RU,1566671347,87,69.38,178.42,41.35,6.49
Port Alfred,0,ZA,1566671490,76,-33.59,26.89,63.0,1.01
Lasa,20,CY,1566671492,94,34.92,32.53,82.4,10.29
Vila,0,IT,1566671493,51,45.18,8.4,82.4,6.93
Komsomolskiy,91,RU,1566671494,87,67.55,63.78,39.01,7.18
Tura,75,RU,1566671495,71,64.27,100.22,53.95,3.27
Norman Wells,75,CA,1566671496,76,65.28,-126.83,50.0,14.99
Rondonopolis,7,BR,1566671498,14,-16.46,-54.64,103.27,2.48
Limbe,52,MW,1566671499,81,-15.81,35.05,63.49,7.27
Ixtapa,40,MX,1566671500,62,20.71,-105.21,90.0,8.05
Weligama,65,LK,1566671501,81,5.97,80.42,81.85,15.52
Salalah,75,OM,1566671502,94,17.01,54.1,78.8,6.93
Jackson,1,US,1566671305,27,43.48,-110.76,75.99,8.9
Okato,3,NZ,1566671505,81,-39.19,173.88,46.99,5.01
Flores,2,GT,1566671506,40,16.93,-89.89,96.07,5.79
Hohhot,0,CN,1566671507,87,40.81,111.65,59.0,4.47
Ribeira Grande,20,PT,1566671508,60,38.52,-28.7,75.2,14.99
Delmas,40,HT,1566671239,47,18.55,-72.29,95.0,14.99
Alofi,6,NU,1566671510,94,-19.06,-169.92,75.2,3.36
Grand Gaube,75,MU,1566671512,83,-20.01,57.66,69.8,5.82
Georgetown,40,GY,1566671508,66,6.8,-58.16,89.6,9.17
Talnakh,90,RU,1566671514,93,69.49,88.39,53.6,11.18
Amahai,96,ID,1566671515,85,-3.31,129.0,75.55,7.34
Muros,0,ES,1566671516,72,42.77,-9.06,72.0,9.17
Taksimo,37,RU,1566671517,89,56.36,114.84,49.27,0.81
Margate,20,AU,1566671519,52,-43.03,147.26,44.6,8.05
Bethel,90,US,1566671273,87,60.79,-161.76,51.8,5.82
Gander,75,CA,1566671521,71,48.95,-54.61,51.8,18.34
Lata,100,IN,1566671522,96,30.78,78.62,43.51,1.54
La Asuncion,0,AR,1566671523,28,-26.05,-65.39,69.07,7.85
Nieuwpoort,51,BE,1566671237,53,51.13,2.75,84.2,5.82
Carnarvon,0,ZA,1566671526,17,-30.97,22.13,64.57,12.24
Omboue,87,GA,1566671527,86,-1.57,9.26,76.09,8.93
Yartsevo,0,RU,1566671528,86,55.07,32.69,59.89,5.73
Genc,27,TR,1566671529,59,38.75,40.56,61.69,7.99
Vestmannaeyjar,0,IS,1566671530,93,63.44,-20.27,53.6,11.41
Touros,40,BR,1566671532,66,-5.2,-35.46,84.2,14.99
Atar,13,MR,1566671254,24,20.52,-13.05,101.47,16.35
San Quintin,100,PH,1566671534,88,17.54,120.52,75.91,6.67
Khandyga,84,RU,1566671535,96,62.65,135.58,55.21,3.02
Torbay,90,CA,1566671536,81,47.66,-52.73,55.4,13.87
Dikson,83,RU,1566671537,97,73.51,80.55,41.17,12.71
Sao Joao da Barra,75,BR,1566671278,69,-21.64,-41.05,75.2,4.7
Deputatskiy,81,RU,1566671540,83,69.3,139.9,49.09,2.33
Lavrentiya,89,RU,1566671541,75,65.58,-170.99,46.75,4.32
Shingu,100,JP,1566671542,99,33.72,135.99,64.03,2.21
Pangoa,0,PE,1566671543,30,-12.12,-73.0,91.93,4.81
Manokwari,100,ID,1566671416,85,-0.87,134.08,73.75,4.29
Jiangyou,51,CN,1566671546,94,31.78,104.73,65.65,2.26
Antalaha,73,MG,1566671547,94,-14.9,50.28,60.97,4.14
College,90,US,1566671548,100,64.86,-147.8,50.0,1.88
Dinard,0,FR,1566671549,45,48.63,-2.06,87.8,4.7
Mar del Plata,59,AR,1566671551,39,-46.43,-67.52,58.81,24.18
Atambua,54,ID,1566671552,75,-9.11,124.89,74.83,9.69
Colonial Heights,1,US,1566671553,50,37.26,-77.41,80.01,6.93
Santa Rosa,29,AR,1566671554,39,-36.62,-64.29,71.95,11.54
Grand-Santi,47,GF,1566671555,74,4.27,-54.38,83.47,4.0
Longyan,100,CN,1566671556,86,25.1,117.03,74.11,8.48
Ossora,54,RU,1566671558,93,59.24,163.07,48.73,1.86
Kondinskoye,22,RU,1566671559,88,59.65,67.41,53.23,11.86
Mount Gambier,40,AU,1566671560,93,-37.83,140.78,37.4,5.82
Yeghegnavan,15,AM,1566671561,28,39.84,44.63,84.2,8.05
Petlawad,100,IN,1566671563,85,22.96,74.82,77.89,6.73
Ponta do Sol,0,BR,1566671564,27,-20.63,-46.0,76.81,7.34
Slave Lake,75,CA,1566671357,77,55.28,-114.77,60.8,6.93
Paamiut,0,GL,1566671566,66,61.99,-49.67,42.25,7.47
Saint-Philippe,90,CA,1566671567,60,45.36,-73.48,72.0,2.24
Cherskiy,37,RU,1566671568,50,68.75,161.3,53.77,5.06
Pearl Lagoon,40,NI,1566671570,79,12.34,-83.67,86.0,4.7
Bloomfield,75,US,1566671571,56,40.75,-92.42,73.99,12.75
Trinidad,0,BO,1566671520,41,-14.83,-64.9,93.2,4.7
Mortka,47,RU,1566671573,90,59.33,66.02,52.69,7.72
Gladstone,0,AU,1566671574,87,-23.84,151.26,57.2,5.82
Sao Filipe,80,CV,1566671429,84,14.9,-24.5,78.25,11.45
Nybro,1,SE,1566671577,88,56.75,15.91,68.0,6.93
Solnechnyy,100,RU,1566671578,97,50.72,136.64,51.43,3.18
Yumen,95,CN,1566671579,18,40.29,97.04,78.79,23.55
Lahij,2,YE,1566671580,29,13.06,44.88,94.81,5.75
Smithers,75,CA,1566671581,82,54.78,-127.17,55.4,3.36
Antofagasta,20,CL,1566671582,67,-23.65,-70.4,60.8,11.41
Saint-Augustin,40,CA,1566671584,53,45.63,-73.98,72.0,5.82
Salinopolis,59,BR,1566671585,79,-0.61,-47.36,80.95,17.31
Mishan,18,CN,1566671586,96,45.55,131.88,53.41,1.52
Hoganas,0,SE,1566671587,72,56.2,12.56,71.01,4.7
Mabai,0,CN,1566671588,88,23.01,104.4,65.65,5.73
Fort Abbas,0,PK,1566671590,21,29.19,72.85,98.41,9.89
La Rioja,7,AR,1566671591,36,-29.41,-66.86,64.21,6.87
Oktyabrskoye,20,RU,1566671592,87,56.73,85.44,64.0,6.71
Kamaishi,97,JP,1566671593,99,39.28,141.86,57.91,4.07
Naron,0,ES,1566671595,72,43.52,-8.15,70.0,6.93
Katsuura,75,JP,1566671596,83,33.93,134.5,72.0,5.82
Ahipara,100,NZ,1566671597,100,-35.17,173.16,51.01,23.11
Susteren,0,NL,1566671598,44,51.07,5.85,84.2,1.12
Nikki,75,BJ,1566671599,88,9.94,3.21,72.85,5.53
Tevaitoa,64,PF,1566671601,71,-16.78,-151.5,77.71,6.35
Tuatapere,87,NZ,1566671602,87,-46.13,167.69,42.01,1.01
Along,76,IN,1566671603,93,28.17,94.8,58.45,6.44
Palmer,75,AU,1566671373,93,-34.85,139.16,46.0,5.82
Hamilton,20,CA,1566671418,52,43.26,-79.87,73.99,5.82
Havre-Saint-Pierre,1,CA,1566671606,59,50.23,-63.6,60.8,17.22
Nizhniy Odes,87,RU,1566671608,96,63.64,54.86,47.11,3.31
Kahului,20,US,1566671356,69,20.89,-156.47,82.4,17.22
Moth,96,IN,1566671610,82,25.73,78.95,80.41,2.3
Oyama,75,JP,1566671611,83,36.31,139.8,84.0,5.82
Sembakung,56,ID,1566671612,98,3.82,117.25,73.21,1.68
Beringovskiy,0,RU,1566671613,89,63.05,179.32,46.93,7.27
Geraldton,75,CA,1566671615,55,49.72,-86.95,66.2,8.05
Coquimbo,0,CL,1566671616,71,-29.95,-71.34,57.2,12.75
Beisfjord,20,NO,1566671617,76,68.38,17.6,51.01,8.05
Longyearbyen,75,NO,1566671618,75,78.22,15.63,41.0,9.17
Victoria,75,BN,1566671619,83,5.28,115.24,82.4,8.05
Ryotsu,75,JP,1566671621,94,38.08,138.43,69.8,8.43
Rio Gallegos,75,AR,1566671622,57,-51.62,-69.22,51.8,9.17
Zhezkazgan,0,KZ,1566671623,31,47.8,67.71,64.4,6.71
Airai,31,TL,1566671624,67,-8.93,125.41,66.01,4.45
Seymchan,99,RU,1566671625,79,62.93,152.39,50.53,5.06
Dubrovka,20,RU,1566671627,77,59.85,30.93,61.0,8.95
Port Keats,94,AU,1566671628,34,-14.25,129.55,66.91,7.52
Hobyo,84,SO,1566671629,76,5.35,48.53,77.35,26.19
Yarada,75,IN,1566671630,100,17.65,83.27,78.8,2.24
Buala,100,SB,1566671631,83,-8.15,159.59,79.33,12.73
Namibe,81,AO,1566671633,92,-15.19,12.15,67.63,4.07
Catacamas,43,HN,1566671634,55,14.85,-85.89,82.93,3.06
Najran,40,SA,1566671635,18,17.54,44.22,91.4,2.24
Kibre Mengist,38,ET,1566671636,97,5.87,38.99,53.95,0.16
Panna,100,IN,1566671637,89,24.72,80.19,79.33,4.7
Quatre Cocos,75,MU,1566671639,83,-20.21,57.76,69.8,5.82
Hambantota,90,LK,1566671640,100,6.12,81.12,77.0,8.05
La Campana,90,MX,1566671641,66,27.02,-109.39,93.0,8.05
Ilulissat,5,GL,1566671642,36,69.22,-51.1,46.4,12.75
Sai Buri,99,TH,1566671644,92,6.7,101.62,74.83,1.99
Fukue,75,JP,1566671645,73,35.03,136.69,77.0,18.34
Isangel,90,VU,1566671646,69,-19.55,169.27,68.17,18.95
Vetlanda,19,SE,1566671647,78,57.43,15.09,66.99,2.44
Nome,75,US,1566671648,70,30.04,-94.42,87.8,8.05
Aksu,0,KZ,1566671650,46,52.04,76.93,71.6,11.18
Centralia,1,US,1566671651,54,39.21,-92.14,81.0,12.75
Bensonville,75,LR,1566671652,88,6.45,-10.61,78.8,9.69
Kidal,58,ML,1566671653,34,18.44,1.41,95.17,9.75
Vostok,30,RU,1566671654,97,46.45,135.83,46.21,0.65
Glenwood Springs,1,US,1566671416,26,39.55,-107.33,78.8,4.7
Emerald,90,AU,1566671657,82,-23.53,148.16,59.0,3.36
Padang,91,ID,1566671658,81,-0.92,100.36,80.77,14.29
Omis,0,HR,1566671659,37,43.44,16.69,86.0,8.05
Boyabat,0,TR,1566671660,76,41.47,34.77,62.41,1.88
Pevek,58,RU,1566671661,79,69.7,170.27,41.89,2.21
Lebu,94,ET,1566671663,89,8.96,38.73,55.03,0.83
Hervey Bay,0,AU,1566671664,87,-25.3,152.85,53.01,3.36
Pulivendla,100,IN,1566671665,74,14.42,78.23,78.61,15.23
Ishigaki,100,JP,1566671666,80,24.34,124.16,84.73,32.39
Abdulino,0,RU,1566671667,78,53.68,53.66,57.37,2.91
Japura,74,ID,1566671669,73,-0.42,102.29,75.55,1.54
Thinadhoo,100,MV,1566671670,70,0.53,72.93,83.29,9.31
Kavieng,94,PG,1566671671,78,-2.57,150.8,82.21,11.07
Nadym,100,RU,1566671672,93,65.53,72.51,49.27,25.68
Vangaindrano,20,MG,1566671673,95,-23.35,47.6,65.11,3.33
Meulaboh,100,ID,1566671675,91,4.14,96.13,75.37,5.21
Kloulklubed,90,PW,1566671676,94,7.04,134.26,75.2,10.29
Nichinan,90,JP,1566671677,100,31.65,131.31,75.0,1.99
Oriximina,50,BR,1566671678,43,-1.77,-55.87,93.37,3.71
Inhambane,40,MZ,1566671679,77,-23.87,35.38,68.0,5.01
Marataizes,85,BR,1566671680,71,-21.04,-40.82,73.93,7.9
Kargil,38,PK,1566671682,62,34.56,76.13,51.97,9.84
Luderitz,0,NA,1566671683,40,-26.65,15.16,71.6,8.05
Trincomalee,68,LK,1566671684,73,8.58,81.23,79.15,8.95
Letterkenny,75,IE,1566671685,82,54.95,-7.73,62.6,6.93
Davila,75,PH,1566671686,94,18.47,120.58,77.0,4.7
Panama City,1,US,1566671684,66,30.16,-85.65,95.0,8.05
Sioux Lookout,75,CA,1566671673,57,50.1,-91.92,75.2,9.17
Cabinda,75,AO,1566671690,78,-5.56,12.19,75.2,6.93
Matiri,45,UG,1566671691,89,0.58,30.76,64.75,3.02
Tilichiki,81,RU,1566671692,96,60.47,166.1,49.09,1.45
Port Lincoln,71,AU,1566671693,63,-34.72,135.86,52.33,18.37
Fecamp,0,FR,1566671695,39,49.76,0.37,82.0,5.82
Chipinge,9,ZW,1566671696,66,-20.19,32.62,63.49,7.11
Avigliana,0,IT,1566671697,57,45.08,7.4,82.0,3.36
Cabo San Lucas,40,MX,1566671671,78,22.89,-109.91,88.0,11.41
Ati,33,TD,1566671699,63,13.21,18.34,83.29,9.28
Nemuro,50,JP,1566671700,92,43.32,145.57,61.33,10.67
Shestakovo,99,RU,1566671702,96,56.49,103.96,48.73,3.69
Kehychivka,0,UA,1566671703,67,49.29,35.77,71.05,8.88
The Pas,75,CA,1566671704,69,53.82,-101.24,73.4,9.17
Tahoua,40,NE,1566671705,52,14.89,5.26,87.8,11.41
Roblin,91,CA,1566671706,73,51.23,-101.35,73.03,11.68
Buchanan,75,LR,1566671708,88,5.88,-10.05,78.8,12.62
Kieta,100,PG,1566671709,79,-6.22,155.63,77.71,5.84
Diplo,0,PK,1566671710,72,24.47,69.59,82.21,15.39
Saint-Joseph,0,FR,1566671711,57,43.56,6.97,82.4,3.71
Shenjiamen,24,CN,1566671712,87,29.96,122.3,83.11,13.78
Finschhafen,100,PG,1566671714,98,-6.6,147.85,63.13,1.99
Nouadhibou,16,MR,1566671715,78,20.93,-17.03,75.2,11.41
Utinga,40,BR,1566671716,66,-5.82,-35.4,84.2,14.99
New Norfolk,20,AU,1566671717,52,-42.78,147.06,44.6,8.05
Fort Nelson,40,CA,1566671718,67,58.81,-122.69,59.0,3.36
Mama,75,MX,1566671719,59,20.48,-89.36,95.0,4.83
Thompson,90,CA,1566671721,100,55.74,-97.86,60.8,3.36
San Jose,75,HN,1566671722,38,14.25,-87.96,93.2,5.82
Karpogory,100,RU,1566671723,94,64.0,44.44,52.15,7.74
Zelenoborskiy,42,RU,1566671724,93,66.84,32.36,48.19,3.09
Maun,0,BW,1566671725,15,-19.99,23.42,69.8,5.82
Secunda,0,ZA,1566671727,20,-26.52,29.2,57.0,1.01
Arraial do Cabo,20,BR,1566671728,69,-22.97,-42.02,73.4,9.17
Rawson,86,AR,1566671729,32,-43.3,-65.11,63.31,8.9
Esperance,90,AU,1566671730,87,-33.86,121.89,42.8,8.05
Saint-Georges,4,CA,1566671523,59,46.12,-70.67,68.0,4.0
Coromandel,0,BR,1566671732,15,-18.47,-47.2,85.81,7.31
Planeta Rica,75,CO,1566671734,63,8.41,-75.58,93.2,8.05
Baykit,74,RU,1566671735,73,61.68,96.39,52.69,1.72
Tautira,20,PF,1566671736,69,-17.73,-149.15,78.8,4.7
Port Augusta,40,AU,1566671737,81,-32.49,137.76,48.2,6.93
Lompoc,1,US,1566671738,68,34.64,-120.46,81.0,11.41
Harper,1,US,1566671739,58,30.3,-99.24,93.99,4.7
Hofn,100,IS,1566671741,90,64.25,-15.21,40.81,15.79
Cedar City,1,US,1566671742,21,37.68,-113.06,84.2,6.93
Manaus,40,BR,1566671743,66,-3.13,-59.98,89.6,5.82
Nhulunbuy,65,AU,1566671744,93,-12.18,136.78,64.4,4.7
Mayo,75,CA,1566671745,57,63.59,-135.9,50.0,2.24
Ancud,75,CL,1566671747,93,-41.87,-73.83,50.0,11.41
Broken Hill,4,AU,1566671748,70,-31.97,141.45,46.4,14.99
Arlit,82,NE,1566671749,33,18.74,7.39,94.99,10.36
Gawler,75,AU,1566671750,93,-34.6,138.75,46.0,5.82
Lukovetskiy,40,RU,1566671751,93,64.29,41.92,51.8,4.47
Kupang,14,ID,1566671752,77,-10.16,123.6,72.85,7.9
Anahuac,100,MX,1566671754,72,26.44,-109.02,93.0,3.0
Sobolevo,0,RU,1566671755,86,54.43,31.9,60.25,5.61
Noumea,90,NC,1566671756,67,-22.28,166.46,69.01,2.24
Fountain,20,US,1566671757,39,38.68,-104.7,82.99,9.95
Maicao,11,CO,1566671672,39,11.38,-72.24,98.23,11.65
Broome,0,GB,1566671760,56,52.47,1.45,78.8,8.05
San Patricio,13,PY,1566671761,48,-26.98,-56.83,75.37,4.99
Matai,75,TZ,1566671762,46,-8.3,31.52,69.8,8.32
Ereymentau,41,KZ,1566671763,61,51.62,73.1,66.55,6.44
Matara,18,BI,1566671764,58,-3.48,29.48,55.93,0.67
Bilma,95,NE,1566671766,31,18.69,12.92,94.99,4.79
Sibolga,100,ID,1566671605,71,1.74,98.78,80.23,9.66
Halifax,75,CA,1566671614,72,44.65,-63.58,71.01,18.34
Chenzhou,10,CN,1566671769,74,25.81,113.03,79.69,3.24
Kavali,100,IN,1566671770,64,14.91,79.99,84.37,11.36
De Aar,0,ZA,1566671771,14,-30.65,24.01,62.41,7.92
Susanville,1,US,1566671719,23,40.42,-120.65,86.0,9.17
Kathu,0,ZA,1566671774,25,-27.7,23.05,57.0,5.08
Fujieda,100,JP,1566671775,84,34.93,138.23,77.0,7.0
Tamandare,1,BR,1566671776,26,-8.28,-70.75,99.31,2.37
Te Anau,82,NZ,1566671777,81,-45.41,167.72,44.95,9.82
Cananeia,86,BR,1566671778,78,-25.01,-47.93,62.95,5.57
Briancon,94,FR,1566671779,43,44.9,6.65,78.01,4.0
Ambulu,69,ID,1566671781,86,-8.35,113.61,73.93,5.35
Provideniya,6,RU,1566671782,67,64.42,-173.23,48.55,3.0
Miri,85,NG,1566671763,89,10.31,9.75,70.69,2.89
Mathathane,0,BW,1566671784,34,-22.27,28.75,63.85,9.4
Riwaka,0,NZ,1566671785,87,-41.08,173.0,50.0,1.99
Yulara,0,AU,1566671786,53,-25.24,130.99,50.0,8.05
Libreville,40,GA,1566671635,88,0.39,9.45,77.0,3.36
Verkhnyaya Inta,100,RU,1566671789,91,65.99,60.32,48.19,6.55
Auki,65,NG,1566671790,83,12.18,6.51,76.81,10.29
Waingapu,33,ID,1566671791,90,-9.65,120.26,68.35,8.1
Alice Springs,0,AU,1566671662,17,-23.7,133.88,46.4,6.93
Wote,76,KE,1566671794,68,-1.78,37.63,65.11,7.05
Santa Vitoria do Palmar,58,BR,1566671797,68,-33.52,-53.37,58.81,5.93
Vila Franca do Campo,75,PT,1566671798,94,37.72,-25.43,71.6,14.99
Angoche,11,MZ,1566671799,88,-16.23,39.91,69.61,4.52
Port Macquarie,0,AU,1566671800,100,-31.43,152.91,45.0,2.8
Taltal,0,CL,1566671775,61,-25.41,-70.49,61.51,6.17
Caravelas,99,BR,1566671803,71,-17.73,-39.27,75.73,8.19
Redding,1,US,1566671804,42,40.59,-122.39,91.99,4.05
Sinnamary,61,GF,1566671805,68,5.38,-52.96,83.11,8.03
Pangnirtung,90,CA,1566671806,87,66.15,-65.72,46.4,16.11
Guerrero Negro,0,MX,1566671807,76,27.97,-114.04,71.59,3.8
Jacareacanga,44,BR,1566671809,29,-6.22,-57.76,96.07,3.85
Tyup,67,KG,1566671810,78,42.73,78.36,37.21,3.4
Pella,0,GR,1566671811,40,40.76,22.53,87.8,2.24
Severnoye,0,RU,1566671812,77,54.09,52.54,57.19,2.51
Acapulco,40,MX,1566671784,62,16.86,-99.88,87.8,5.82
Ganesti,86,RO,1566671814,68,46.33,24.35,73.4,2.24
Inuvik,90,CA,1566671816,69,68.36,-133.71,44.6,10.29
Surin,98,TH,1566671817,92,14.88,103.49,74.65,6.82
Clyde River,48,CA,1566671818,47,70.47,-68.59,51.79,3.36
Kamenka,66,MD,1566671819,70,48.03,28.7,68.0,6.98
Bani,100,YE,1566671820,77,16.02,42.93,86.89,8.23
Saint Marys,90,US,1566671822,52,41.43,-78.56,71.6,6.93
Balogo,100,PH,1566671823,88,12.98,124.02,78.43,5.08
Shimoda,98,JP,1566671824,3,34.7,138.93,75.99,10.76
Llanes,45,ES,1566671825,97,43.42,-4.75,70.0,8.19
Sabang,100,PH,1566671826,95,13.8,121.11,77.0,3.42
Oum Hadjer,35,TD,1566671828,60,13.3,19.7,85.09,7.96
Barranca,53,PE,1566671829,88,-10.75,-77.76,59.17,10.36
